02/23/2019,Sábado,Sábado da 6ª Semana Do Tempo Comum,"São Policarpo, bispo e mártir",Vermelho,,,,,,,,C,,,"1ª Leitura - Hb 11,1-7  / Salmo - Sl 144 (145),2-3. 4-5. 10-11 (R. (Cf. 1b)  / Evangelho - Mc 9,2-13"
02/24/2019,Domingo,7º Domingo Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - 1Sm 26,2.7-9.12-13.22-23  / Salmo - Sl 102,1-2.3-4.8.10.12-13 (R.8a)  / 2ª Leitura - 1Cor 15,45-49  / Evangelho - Lc 6,27-38"
02/25/2019,Segunda,2ª-feira da 7ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Eclo 1,1-10  / Salmo - Sl 92, 1ab. 1c-2. 5 (R.1a)  / Evangelho - Mc 9,14-29"
02/26/2019,Terça,3ª-feira da 7ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Eclo 2,1-13 (Gr. 1-11)  / Salmo - Sl 36,3-4. 18-19. 27-28. 39-40 (R. Cf. 5)  / Evangelho - Mc 9,30-37"
02/27/2019,Quarta,4ª-feira da 7ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Eclo 4,12-22 (Gr. 11-19)  / Salmo - Sl 118,165. 168. 171. 174. 175 (R. 165a)  / Evangelho - Mc 9,38-40"
02/28/2019,Quinta,5ª-feira da 7ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Eclo 5,1-10 (Gr. 1-8)  / Salmo - Sl 1,1-2. 3. 4.6 (R. Sl 39,5a)  / Evangelho - Mc 9,41-50"
03/01/2019,Sexta,6ª-feira da 7ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Eclo 6,5-17  / Salmo - Sl 118, 12. 16. 18. 27. 34. 35 (R. 35a)  / Evangelho - Mc 10,1-12"
03/02/2019,Sábado,Sábado da 7ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Eclo 17,1-13 (Gr.1-15)  / Salmo - Sl 102, 13-14. 15-16. 17-18a (R. Cf. 17)  / Evangelho - Mc 10,13-16"
03/03/2019,Domingo,8º Domingo Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Eclo 27,5-8 (gr.4-7)  / Salmo - Sl 91,2-3.13-14.15-16 (R. Cf. 2a)  / 2ª Leitura - 1Cor 15,54-58  / Evangelho - Lc 6,39-45"
03/04/2019,Segunda,2ª-feira da 8ª Semana Do Tempo Comum,São Casimiro,Branco,,,,,,,,C,,,"1ª Leitura - Eclo 17,20-28 (Gr 24-29)  / Salmo - Sl 31, 1-2. 5. 6. 7 (R. 11a)  / Evangelho - Mc 10,17-27"
